char,pron
腳趾,gök2 zi2
腳板底,gök2 bæng6 däi2
腳掌心,gök2 zöng2 säm1
腳印,gök2 yäng2
老泥,läu1 näi4
婦娘,fu1 löng4
老大,läu1 dai2
伯爺公,äi2 ya2 gung2
伯爺婆,bak2 ye2 po2
後生,häu6 sæng2
妹仔,mui6 zäi2
後生仔,häu6 sæng1 zäi2
細民仔,säi6 mæng1 zäi2
耕田佬,gæng1 ting4 läu2
鄉下佬,höng1 ha2 läu2
寡佬,gwa2 läu2
老姑婆,läu2 gu1 po4
寡婦婆,gwa2 fu1 po2
冇爺冇奶,mäu1 ya4 mäu1 näi1
單眼佬,dæng1 ngæng1 läu2
蒙豬眼,mung2 zü6 ngæng2
突眼,däk6 ngæng2
鬥皮,däu6 pi4
鬥雞,däu6 gäi1
鬥雞眼,däu6 gäi1 ngæng1
盲眼佬,mæng4 ngæng1 läu2
聾佬,lung4 läu2
啞缽,a2 buk2
漏口,läu1 häu2
缺嘴,kük2 zöi2
甩牙,läk2 nga4
歪頸,me2 geng2
左手仔,zo2 säu2 zäi2
鴨乸蹄,ap2 na2 täi4
肥佬,fi4 läu2
高佬,gäu1 läu2
爆牙,bau1 nga4
痘皮,däu6 pi4
瘌痢頭,læk2 li6 täu4
六指,luk2 zi2
駝背,to1 bui1
哭包,huk2 bau2
哭袋,huk2 döi2
發癲佬,fæk2 ding1 läu2
癲佬,ding1 läu2
跛腳佬,bäi1 gök2 läu2
傻佬,so4 läu2
拐子佬,gwai2 zi2 läu2
賊仔,cæk6 zäi2
賊佬,zæk6 läu2
乞兒,häk2 yi4
乞兒,häk2 yi1
契家佬,käi1 ga1 läu2
契家婆,käi1 ga1 po4
勾佬,ngäu2 läu2
老舉,läu1 gü2
在行,zöi6 hong4
外行,wui6 hong2
伙頭,fo2 täu2
鬥木佬,däu1 muk6 läu2
打鐵佬,da2 tik2 läu2
先生,sing1 sæng1
剃頭佬,täi1 täu4 läu2
泥水佬,näi4 söi2 läu2
生意佬,sæng6 yi6 läu2
生保人,sæng1 bäu2 yäng4
人客,yäng4 hæk2
大火氣,dai6 fo2 hi1
火氣猛,fo2 hi1 mæng1
小氣,siu2 hi2
大方,dai6 fong2
能解,läng4 hai1
勤力,gäng4 läk6
懶散,læng1 sæng2
慳儉,hæng1 gim6
叻仔,lek2 zäi2
聰明,cung1 mäng4
爽快,song2 fai1
笨實,bäng6 säk6
牛精,ngäu4 zäng2
牛王,ngäu4 wong4
刻薄,häk2 bok6
陰毒,yäm1 duk6
整蠱,zäng2 gu2
好心,häu2 säm1
老實,läu1 säk6
唔出聲,m4 cäk2 seng1
怕醜,pa1 cäu2
陰公,yäm1 gung1
後生,häu6 sæng1
肉酸,yuk6 süng1
唔好睇,m4 häu2 täi2
企理,ki1 li1
垠屎,ngäng2 si2
邋遢,læk6 täk2
百厭,bæk2 yim1
硬頸,ngæng6 geng2
牛頸,ngäu4 geng2
偷懶,täu2 læng1
糜摸,mi2 mo2
古惑,gu2 wæk6
賴死,lai6 si2
下流,ha6 läu4
賤格,zing6 gäk2
唔愛面,m4 wui1 ming2
講大話,gong2 dai6 wa6
詐傻,za1 so4
扮懵,bang6 mung2
爛叻,læng2 læk2
阿爸,a1 ba4
老豆,läu1 däu6
阿媽,a1 ma2
阿奶,a1 nai1
老母,läu1 mu2
老豆老母,läu1 däu6 läu1 mu2
阿公,a1 gung2
阿爺,a1 ya4
阿婆,a1 po4
阿嫲,a1 ma4
太公,tai1 gung2
太婆,tai1 po4
阿伯,a1 bæk2
大伯,dai6 bæk2
伯娘,bæk2 nöng4
阿叔,a1 suk2
叔仔,suk2 zäi2
阿嬸,a1 säm2
嬸仔,säm2 zäi2
姑丈,gu1 zöng2
大姑,dai6 gu1
姑仔,gu1 zäi2
姨丈,yi4 zöng2
大姨,dai6 yi2
阿姨,a1 yi2
大舅,dai6 käu1
阿舅,a1 käu2
大妗,dai6 käm1
阿妗,a1 käm1
妗仔,käm1 zäi2
大佬,dai6 läu2
阿哥,a1 go1
阿哥,go4 go2
阿嫂,a1 säu2
大姊,dai6 zi2
姐夫,ze2 fu1
姊夫,zi2 fu1
細佬,säi1 läu2
阿妹,a1 mui6
妹夫,mui6 fu1
阿弟,a1 täi1
大伯,dai6 bæk6
大姨,dai6 yi4
姨仔,yi2 zäi2
舅仔,käu1 zäi2
老襟,läu1 käm2
妯娌,cuk2 li2
老公,läu1 gung1
老婆,lau1 po4
外父,wui6 fu2
岳父,ngok6 fu2
著人公,zü1 yäng4 gung1
外母,wui6 mu2
岳母,ngok6 mu2
著人婆,zü1 yäng4 po4
家公,ga1 gung1
大人公,dai6 yäng4 gung1
家婆,ga1 po4
親家,cäng1 ga1
後歸婆,häu6 gwäi1 po4
後仔乸,häu6 zäi2 na2
後繼婆,häu6 gäi1 po4
契爺,käi1 ya4
契娘,käi1 nöng4
契媽,käi1 ma2
細民仔,säi1 mäng1 zäi2
孻仔,lai1 zäi2
新婦,säng1 fu1
孻女,lai1 nü2
女婿,nü1 säi1
女孫,nü1 süng1
孫女,süng1 nü1
外孫,wui6 süng1
外孫女,wui6 süng1 nü2
外甥,wui6 sæng1
外甥女,wui6 sæng1 nü2
侄女,zäk6 nü1
兩仔爺,löng1 zäi2 ya4
兩公婆,löng1 gung1 po4
兄弟,häng1 däi6
姊妹,zi2 mui6
兩兄弟,löng1 häng6 däi6
兩姊妹,löng1 zi2 mui6
兩兄妹,löng1 häng6 mui6
兩姐弟,löng1 zi2 däi6
叔伯兄弟,suk2 bæk2 häng1 däi6
表姊妹,biu2 zi2 mui6
親戚,cäng6 cäk2
輩份,bui6 fäng6
乳名,yöi1 meng2
花名,fa1 meng2
做媒人,zu6 mui4 yäng2
媒人,mui4 yäng4
媒人婆,mui4 yäng4 po4
過定,gwo1 deng6
娶老婆,cü2 läu1 po4
娶老婆,cu1 läu1 po4
嫁人,ga1 yäng4
娶新婦,cu2 säng6 fu1
娶新婦,cü2 säng6 fu1
入贅,yäp6 zöi6
新郎哥,säng6 long4 go2
新娘,säng1 nöng2
擺酒,bäi2 zäu2
去飲,hü1 yäm2
外家,wui6 ga1
返頭嫁,fæng1 täu4 ga1
續弦,zuk6 yüng4
娶填房,cu2 ting4 fong4
大肚,dai6 du2
漚仔,äu1 zäi2
小產,siu2 cæng2
大肚婆,dai6 du2 po4
作動,zuk2 dung6
難產,næng4 cæng2
接生,zip2 sæng1
胎盤,töi1 pung4
孖仔,ma1 zäi2
蘇蝦,su2 ha1
伢伢仔,nga4 nga2 zäi2
坐月,co1 yük2
餵奶,wäi1 näi1
餵飯,wäi1 fæng6
奶嘴,nai1 zöi2
